Common_Name,Family,Diameter_Breast_Height,Age_Description
Peppercorn Tree,Anacardiaceae,,
Cyprus Plane,Platanaceae,19,Semi-Mature
Sugar gum,Myrtaceae,,
River red gum,Myrtaceae,,
Swamp Sheoak,Casuarinaceae,,
October glory maple,Sapindaceae,,
Kanooka,Myrtaceae,56,Mature
Jacaranda,Bignoniaceae,,
London Plane,Platanaceae,28,Semi-Mature
Lightwood Wattle,Fabaceae,,
Kurrajong,Malvaceae,,
Spotted Gum,Myrtaceae,,
Huntingdon Elm,Ulmaceae,69,Mature
Red Box,Myrtaceae,,
Ironbark,Myrtaceae,,
Yellow Box,Myrtaceae,,
Ironbark,Myrtaceae,,
Tasmainian Blue Gum,Myrtaceae,,
Swamp Gum,Myrtaceae,,
Urbanite Ash,Oleaceae,,
London Plane,Platanaceae,36,Semi-Mature
Flame Tree,Malvaceae,,
English Elm,Ulmaceae,78,Mature
Wirilda,Fabaceae,,
Australian teak,Rutaceae,,
Spotted Gum,Myrtaceae,49,Mature
Drooping sheoak,Casuarinaceae,,
Gum,Myrtaceae,,
Dutch Elm,Ulmaceae,54,Mature
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Swamp Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,9,Juvenile
Golden Spray,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Weeping Myrtle,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,52,Mature
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Kanooka,Myrtaceae,,
Oyster Bay pine,Cupressaceae,,
Sweet Bursaria,Pittosporaceae,,
Manna Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Sugar gum,Myrtaceae,24,Semi-Mature
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
London Plane,Platanaceae,,
Drooping sheoak,Casuarinaceae,,
Simon Poplar,Salicaceae,,
London Plane,Platanaceae,73,Mature
Port Jackson or Rusty Fig,Moraceae,,
Boobialla,Scrophulariaceae,,
London Plane,Platanaceae,42,Semi-Mature
Jacaranda,Bignoniaceae,,
Chinaberry Tree,Meliaceae,15,Semi-Mature
Japanese Zelkova,Ulmaceae,,
Sweet Bursaria,Pittosporaceae,,
Hill¿s Weeping Fig,Moraceae,,
Tuckeroo,Sapindaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Liquidamber or Sweet Gum,Altingiaceae,,
River Sheoak,Casuarinaceae,0,New
Freeman Maple,Sapindaceae,2,New
Flame Tree,Malvaceae,4,Juvenile
Turkey Oak,Fagaceae,105,Mature
Huntingdon Elm,Ulmaceae,64,Mature
Bunya pine,Araucariaceae,,
Tuckeroo,Sapindaceae,,
Yellow Gum,Myrtaceae,,
European nettle tree,Cannabaceae,25,Semi-Mature
London Plane,Platanaceae,16,Semi-Mature
River Sheoak,Casuarinaceae,4,New
Sugar gum,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Golden Wattle,Fabaceae,,
Chanticleer Pear,Rosaceae,,
Hoop Pine,Araucariaceae,,
Drooping sheoak,Casuarinaceae,,
Japanese Chestnut Oak,Fagaceae,,
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
Chinese Elm,Ulmaceae,,
European Olive,Oleaceae,,
Hedge Maple,Sapindaceae,,
Spotted Gum,Myrtaceae,29,Semi-Mature
Smooth-barked apple,Myrtaceae,,
London Plane,Platanaceae,,
Sweet Bursaria,Pittosporaceae,,
Kanooka,Myrtaceae,3,Juvenile
Golden Rain Tree,Sapindaceae,,
Lightwood Wattle,Fabaceae,,
Queensland kauri pine,Araucariaceae,,
Jacaranda,Bignoniaceae,,
Port Jackson or Rusty Fig,Moraceae,,
Aleppo Pine,Pinaceae,,
Brush Box,Myrtaceae,66,Mature
Melbourne Yellow-Gum,Myrtaceae,,
Willow Bottlebrush,Myrtaceae,,
Black Wattle,Fabaceae,,
Manna Gum,Myrtaceae,35,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Trident maple,Sapindaceae,,
Hill¿s Weeping Fig,Moraceae,,
Flowering Gum,Myrtaceae,6,Juvenile
Chinese Pistachio,Anacardiaceae,,
Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Canary Island Date Palm,Arecaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,,
River red gum,Myrtaceae,,
London Plane,Platanaceae,,
Yellow Gum,Myrtaceae,,
Sapporo Autumn Gold Elm,Ulmaceae,,
Lemon Scented Gum,Myrtaceae,130,Mature
Wych Elm,Ulmaceae,108,Mature
Lemon Scented Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Unknown,Myrtaceae,,
UNKNOWN,UNKNOWN,,
Elm,Ulmaceae,21,Semi-Mature
Spotted Gum,Myrtaceae,17,Semi-Mature
Sweet Bursaria,Pittosporaceae,,
London Plane,Platanaceae,30,Semi-Mature
Peppercorn Tree,Anacardiaceae,35,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Deodar,Pinaceae,15,Juvenile
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Brush Box,Myrtaceae,32,Semi-Mature
Ironbark,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Midland Hawthorn,Rosaceae,16,Semi-Mature
Yellow Box,Myrtaceae,,
Cyprus Plane,Platanaceae,21,Semi-Mature
River red gum,Myrtaceae,,
London Plane,Platanaceae,36,Semi-Mature
Black She Oak,Casuarinaceae,7,Juvenile
Drooping sheoak,Casuarinaceae,13,Semi-Mature
River red gum,Myrtaceae,,
Kanooka,Myrtaceae,,
Elm,Ulmaceae,78,Mature
Brush Box,Myrtaceae,23,Semi-Mature
Yellow Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,17,Semi-Mature
Manchurian Pear,Rosaceae,18,Semi-Mature
Simon Poplar,Salicaceae,,
Swamp Sheoak,Casuarinaceae,,
Desert Ash,Oleaceae,,
River red gum,Myrtaceae,,
Prickly Paperbark,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,2,New
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,54,Mature
Prickly Paperbark,Myrtaceae,41,Mature
Lightwood Wattle,Fabaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Weeping Bottlebrush,Myrtaceae,,
Flame Tree,Malvaceae,,
English Elm,Ulmaceae,15,Semi-Mature
Black Wattle,Fabaceae,,
Brush Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,17,Semi-Mature
Maidenhair Tree,Ginkgoaceae,,
Spotted Gum,Myrtaceae,13,Juvenile
River red gum,Myrtaceae,10,Juvenile
Peppercorn Tree,Anacardiaceae,59,Semi-Mature
London Plane,Platanaceae,31,Semi-Mature
London Plane,Platanaceae,56,Mature
Kanooka,Myrtaceae,5,Juvenile
London Plane,Platanaceae,43,Mature
White Poplar,Salicaceae,,
Black Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Blueberry ash,Elaeocarpaceae,,
Drooping sheoak,Casuarinaceae,,
Lemon Scented Gum,Myrtaceae,,
Golden Rain Tree,Sapindaceae,,
Brush Box,Myrtaceae,48,Mature
Norfolk Island Pine,Araucariaceae,,
Faber's maple,Sapindaceae,,
Silver Banksia,Proteaceae,,
River red gum,Myrtaceae,,
Wirilda,Fabaceae,,
Lightwood Wattle,Fabaceae,,
Small-leaved Linden,Malvaceae,,
Red Box,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
Variegated box elder,Sapindaceae,,
River Sheoak,Casuarinaceae,,
Golden Elm,Ulmaceae,39,Semi-Mature
Canary Island Pine,Pinaceae,,
Cyprus Plane,Platanaceae,,
Sweet Bursaria,Pittosporaceae,,
Yellow Box,Myrtaceae,,
Pin Oak,Fagaceae,37,Semi-Mature
Lightwood Wattle,Fabaceae,,
Desert Ash,Oleaceae,33,Semi-Mature
Red Box,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
Flooded gum,Myrtaceae,16,Semi-Mature
Prickly Paperbark,Myrtaceae,,
Black Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,28,Semi-Mature
Urbanite Ash,Oleaceae,,
Brush Box,Myrtaceae,58,Mature
Freeman Maple,Sapindaceae,3,New
River red gum,Myrtaceae,,
Mountt Morgan Wattle,Fabaceae,30,Semi-Mature
Yellow Box,Myrtaceae,,
Black Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Norwegian Sunset Maple,Sapindaceae,,
Japanese Zelkova,Ulmaceae,,
Red maple,Sapindaceae,,
Elm,Ulmaceae,11,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Ironbark,Myrtaceae,48,Mature
Drooping sheoak,Casuarinaceae,,
Freeman Maple,Sapindaceae,3,New
River red gum,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Golden Honeylocust,Fabaceae,,
Gossamer Wattle,Fabaceae,32,Semi-Mature
Callery Pear,Rosaceae,16,Semi-Mature
London Plane,Platanaceae,37,Semi-Mature
London Plane,Platanaceae,62,Mature
Wirilda,Fabaceae,,
Lemon Scented Gum,Myrtaceae,,
Cape Chestnut,Rutaceae,46,Semi-Mature
Yellow Gum,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
Silver Banksia,Proteaceae,,
River red gum,Myrtaceae,,
River Sheoak,Casuarinaceae,2,New
Flame Tree,Malvaceae,,
Drooping sheoak,Casuarinaceae,,
Drooping sheoak,Casuarinaceae,,
London Plane,Platanaceae,33,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,12,Juvenile
Yellow Box,Myrtaceae,,
Austrian Pine,Pinaceae,,
Carob,Fabaceae,12,Semi-Mature
Ironbark,Myrtaceae,37,Semi-Mature
Wirilda,Fabaceae,,
Smooth-barked apple,Myrtaceae,15,Juvenile
Red Box,Myrtaceae,,
Ironbark,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Liquidamber or Sweet Gum,Altingiaceae,68,Mature
Coastal Banksia,Proteaceae,,
Monterey Cypress,Cupressaceae,,
Wilga,Rutaceae,,
Elm,Ulmaceae,84,Mature
River Sheoak,Casuarinaceae,,
Yellow Gum,Myrtaceae,,
Elm,Ulmaceae,34,Semi-Mature
Flowering Gum,Myrtaceae,,
Norwegian Sunset Maple,Sapindaceae,5,New
Yellow Box,Myrtaceae,24,Semi-Mature
Yellow Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Swamp White Oak,Fagaceae,3,Juvenile
London Plane,Platanaceae,57,Mature
Melbourne Yellow-Gum,Myrtaceae,,
Weeping Myrtle,Myrtaceae,3,New
Oleander,Apocynaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Maple,Sapindaceae,,
Drooping sheoak,Casuarinaceae,,
Silverleaf cotoneaster,Rosaceae,,
Holm Oak,Fagaceae,6,Juvenile
Pin Oak,Fagaceae,,
Maidenhair Tree,Ginkgoaceae,1,Juvenile
Golden Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,,
Black Wattle,Fabaceae,,
Northern white-cedar,Cupressaceae,,
River red gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Moreton Bay Fig,Moraceae,,
River red gum,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
London Plane,Platanaceae,44,Mature
London Plane,Platanaceae,30,Semi-Mature
Yellow Box,Myrtaceae,,
Pin Oak,Fagaceae,,
Wandoo,Myrtaceae,,
Sweet Bursaria,Pittosporaceae,,
Smooth-barked apple,Myrtaceae,,
Spotted Gum,Myrtaceae,86,Mature
Pin Oak,Fagaceae,4,Juvenile
Huntingdon Elm,Ulmaceae,,
Yellow Chestnut Oak,Fagaceae,101,Mature
Spotted Gum,Myrtaceae,,
London Plane,Platanaceae,2,New
Cork Oak,Fagaceae,,
Algerian Oak,Fagaceae,,
Canary Island Pine,Pinaceae,,
Yarra Gum,Myrtaceae,,
Mutton-Wood,Primulaceae,,
Glossy Tree Privet,Oleaceae,,
English Elm,Ulmaceae,11,Juvenile
Evergreen alder,Betulaceae,48,Mature
Wilga,Rutaceae,,
Hill¿s Weeping Fig,Moraceae,27,Semi-Mature
Lemon Scented Gum,Myrtaceae,,
Pin Oak,Fagaceae,,
Yellow Box,Myrtaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,104,Mature
Norfolk Island Pine,Araucariaceae,,
English Elm,Ulmaceae,71,Mature
Monterey Pine,Pinaceae,87,Mature
Wych Elm,Ulmaceae,21,Semi-Mature
Sheoak,Casuarinaceae,,
English Elm,Ulmaceae,65,Mature
Coastal Banksia,Proteaceae,,
Dutch Elm,Ulmaceae,104,Over-mature
English Elm,Ulmaceae,101,Mature
Spotted Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Jacaranda,Bignoniaceae,12,Semi-Mature
Smooth-barked apple,Myrtaceae,,
Black Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,,
Golden Wattle,Fabaceae,,
Chinaberry Tree,Meliaceae,,
Drooping sheoak,Casuarinaceae,,
Brush Box,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Golden Wattle,Fabaceae,,
Drooping sheoak,Casuarinaceae,,
Chinese Juniper,Cupressaceae,,
Golden Monterey Cypress,Cupressaceae,34,Semi-Mature
Peppercorn Tree,Anacardiaceae,,
Elm,Ulmaceae,,
Cyprus Plane,Platanaceae,26,Semi-Mature
Spotted Gum,Myrtaceae,18,Semi-Mature
River red gum,Myrtaceae,,
Smooth-barked apple,Myrtaceae,,
Callery Pear,Rosaceae,,
Cyprus Plane,Platanaceae,,
Peppercorn Tree,Anacardiaceae,,
Deodar,Pinaceae,86,Mature
Yellow Gum,Myrtaceae,,
London Plane,Platanaceae,77,Mature
Spotted Gum,Myrtaceae,20,Semi-Mature
London Plane,Platanaceae,6,Juvenile
Tuckeroo,Sapindaceae,2,New
Yellow Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,8,Juvenile
European nettle tree,Cannabaceae,,
London Plane,Platanaceae,76,Mature
River red gum,Myrtaceae,14,Juvenile
Smooth-barked apple,Myrtaceae,9,Juvenile
Coolgardie Gum,Myrtaceae,,
Jelly Palm,Arecaceae,0,Juvenile
Elm,Ulmaceae,100,Mature
Black Wattle,Fabaceae,,
English Elm,Ulmaceae,99,Mature
Lightwood Wattle,Fabaceae,,
Cyprus Plane,Platanaceae,48,Mature
Silky Oak,Proteaceae,,
Yellow Box,Myrtaceae,,
London Plane,Platanaceae,55,Mature
Drooping sheoak,Casuarinaceae,,
Black Wattle,Fabaceae,,
Mutton-Wood,Primulaceae,,
Yellow Box,Myrtaceae,,
Lightwood Wattle,Fabaceae,,
Yarra Gum,Myrtaceae,,
Sugar gum,Myrtaceae,,
European nettle tree,Cannabaceae,5,New
Hedge Maple,Sapindaceae,16,Semi-Mature
Scarlet Oak,Fagaceae,,
Red Box,Myrtaceae,17,Semi-Mature
Grey Sheoak,Casuarinaceae,,
`Rosea¿ Red Ironbark,Myrtaceae,32,Semi-Mature
Yellow Box,Myrtaceae,26,Semi-Mature
Flowering Gum,Myrtaceae,10,Juvenile
Swamp Paperbark,Myrtaceae,,
Rose sheoak,Casuarinaceae,1,New
Scarlet Oak,Fagaceae,,
Cabbage Tree Palm,Arecaceae,,
Spotted Gum,Myrtaceae,16,Semi-Mature
Flowering Gum,Myrtaceae,,
White Poplar,Salicaceae,97,Over-mature
River red gum,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
Silky Oak,Proteaceae,,
Weaping Myall,Fabaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,68,Mature
Coastal Banksia,Proteaceae,,
Moreton Bay Fig,Moraceae,96,Mature
River red gum,Myrtaceae,,
London Plane,Platanaceae,8,Juvenile
Elm,Ulmaceae,61,Mature
Black Wattle,Fabaceae,,
London Plane,Platanaceae,55,Mature
London Plane,Platanaceae,31,Semi-Mature
Gum,Myrtaceae,20,Semi-Mature
Coastal Banksia,Proteaceae,,
Yellow Box,Myrtaceae,50,Mature
Lemon Scented Gum,Myrtaceae,,
Golden Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,,
Huntingdon Elm,Ulmaceae,64,Mature
Lemon Scented Gum,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Monterey Pine,Pinaceae,,
English Elm,Ulmaceae,,
River red gum,Myrtaceae,,
Peppercorn Tree,Anacardiaceae,17,Semi-Mature
Manchurian Pear,Rosaceae,11,Semi-Mature
Manuka,Myrtaceae,,
UNKNOWN,UNKNOWN,,
Spotted Gum,Myrtaceae,12,Juvenile
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,26,Semi-Mature
London Plane,Platanaceae,24,Semi-Mature
River red gum,Myrtaceae,,
English Elm,Ulmaceae,,
Spotted Gum,Myrtaceae,35,Semi-Mature
Yellow Box,Myrtaceae,,
Turkey Oak,Fagaceae,,
Drooping sheoak,Casuarinaceae,,
Huntingdon Elm,Ulmaceae,76,Mature
Maidenhair Tree,Ginkgoaceae,,
Drooping sheoak,Casuarinaceae,,
Algerian Oak,Fagaceae,100,Mature
London Plane,Platanaceae,46,Mature
Yellow Box,Myrtaceae,,
Grey Sheoak,Casuarinaceae,,
English Oak,Fagaceae,,
Prickly Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Smooth-barked apple,Myrtaceae,12,Juvenile
Black She Oak,Casuarinaceae,,
River red gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Elm,Ulmaceae,,
Algerian Oak,Fagaceae,,
Black Wattle,Fabaceae,,
Golden Elm,Ulmaceae,28,Semi-Mature
Maidenhair Tree,Ginkgoaceae,,
Weeping Bottlebrush,Myrtaceae,,
London Plane,Platanaceae,15,Semi-Mature
Manna Gum,Myrtaceae,144,Mature
English Elm,Ulmaceae,6,Semi-Mature
Black Wattle,Fabaceae,,
Pin Oak,Fagaceae,24,Semi-Mature
Yellow Box,Myrtaceae,,
Cabbage Tree,Asparagaceae,,
Silky Oak,Proteaceae,,
Varnish Wattle,Fabaceae,,
Kurrajong,Malvaceae,70,Mature
Bottlebrush,Myrtaceae,,
London Plane,Platanaceae,81,Mature
London Plane,Platanaceae,50,Mature
Canary Island Pine,Pinaceae,82,Mature
Yellow Box,Myrtaceae,,
Norfolk Island Pine,Araucariaceae,,
Elm,Ulmaceae,30,Semi-Mature
Urbanite Ash,Oleaceae,,
River Sheoak,Casuarinaceae,,
Oyster Bay pine,Cupressaceae,,
Dutch Elm,Ulmaceae,72,Mature
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,,
Hedge Maple,Sapindaceae,,
Lemon-scented teatree,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,8,Juvenile
Tasmainian Blue Gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
River Sheoak,Casuarinaceae,71,Mature
Swamp Paperbark,Myrtaceae,,
Yellow Gum,Myrtaceae,,
Silver Wattle,Fabaceae,,
Coastal Banksia,Proteaceae,,
Hoop Pine,Araucariaceae,,
Lightwood Wattle,Fabaceae,,
Elm,Ulmaceae,29,Semi-Mature
Smooth-barked apple,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Yellow Box,Myrtaceae,,
River red gum,Myrtaceae,,
Coolgardie Gum,Myrtaceae,,
Golden Wattle,Fabaceae,,
Spotted Gum,Myrtaceae,30,Semi-Mature
Snow Gum,Myrtaceae,11,Juvenile
River red gum,Myrtaceae,,
Silver Wattle,Fabaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,,
Foxglove or Princess Tree,Paulowniaceae,17,Semi-Mature
Boobialla,Scrophulariaceae,,
Sugar gum,Myrtaceae,,
Firewheel Tree,Proteaceae,,
Yellow Box,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,,
Large-fruited Yellow or Blue Gum,Myrtaceae,,
River red gum,Myrtaceae,,
River red gum,Myrtaceae,,
Black Wattle,Fabaceae,3,New
Manna Gum,Myrtaceae,,
Yellow Box,Myrtaceae,,
Yellow Box,Myrtaceae,,
Mexican or Washington Palm,Arecaceae,,
Brush Box,Myrtaceae,,
Weeping Myrtle,Myrtaceae,,
Drooping sheoak,Casuarinaceae,,
Boobialla,Scrophulariaceae,,
Red mahogany,Myrtaceae,88,Mature
Canary Island Pine,Pinaceae,61,Mature
London Plane,Platanaceae,21,Semi-Mature
Canary Island Date Palm,Arecaceae,80,Mature
Purple Branched Elm,Ulmaceae,59,Mature
Elm,Ulmaceae,,
Yellow Gum,Myrtaceae,,
Populus,Rosaceae,32,Mature
Wilga,Rutaceae,,
River red gum,Myrtaceae,,
Wilga,Rutaceae,,
Elm,Ulmaceae,,
Freeman Maple,Sapindaceae,6,Juvenile
London Plane,Platanaceae,13,Semi-Mature
London Plane,Platanaceae,23,Semi-Mature
Drooping sheoak,Casuarinaceae,,
Prickly Paperbark,Myrtaceae,,
River red gum,Myrtaceae,,
Hoop Pine,Araucariaceae,85,Mature
Drooping sheoak,Casuarinaceae,,
River red gum,Myrtaceae,13,Juvenile
Lightwood Wattle,Fabaceae,,
Sweet Pittosporum,Pittosporaceae,,
Smooth-barked apple,Myrtaceae,,
Chinese Pistachio,Anacardiaceae,,
London Plane,Platanaceae,47,Mature
Sweet Bursaria,Pittosporaceae,,
Lightwood Wattle,Fabaceae,,
Yellow Gum,Myrtaceae,,
Moreton Bay Fig,Moraceae,,
Swamp White Oak,Fagaceae,9,Juvenile
River red gum,Myrtaceae,,
Spotted Gum,Myrtaceae,,
River red gum,Myrtaceae,,
Freeman Maple,Sapindaceae,8,Juvenile
Yellow Box,Myrtaceae,,
Elm,Ulmaceae,71,Mature
Yellow Gum,Myrtaceae,,
`Bloodgood¿ London Planetree,Platanaceae,,
River red gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,10,Juvenile
English Holly,Aquifoliaceae,26,Semi-Mature
English Oak,Fagaceae,32,Semi-Mature
Elm,Ulmaceae,93,Mature
Elm,Ulmaceae,65,Mature
Narrow-leaved Bottlebrush,Myrtaceae,,
London Plane,Platanaceae,,
Chinese Elm,Ulmaceae,,
Willow Oak,Fagaceae,,
Yellow Box,Myrtaceae,,
Silver Banksia,Proteaceae,,
River Peppermint,Myrtaceae,17,Semi-Mature
Elm,Ulmaceae,122,Mature
London Plane,Platanaceae,34,Semi-Mature
River red gum,Myrtaceae,,
Elm,Ulmaceae,21,Semi-Mature
Black She Oak,Casuarinaceae,,
Yellow Gum,Myrtaceae,18,Semi-Mature
Cyprus Plane,Platanaceae,34,Semi-Mature
Port Jackson or Rusty Fig,Moraceae,,
Canary Island Pine,Pinaceae,,
River red gum,Myrtaceae,,
Elm,Ulmaceae,56,Mature
Brush Cherry,Myrtaceae,,
Lemon Scented Gum,Myrtaceae,29,Semi-Mature
Red Flowering Yellow Gum,Myrtaceae,,
Red maple,Sapindaceae,,
Black Wattle,Fabaceae,,
London Plane,Platanaceae,48,Mature
Cyprus Plane,Platanaceae,,
Yellow Gum,Myrtaceae,7,Juvenile
Yellow Gum,Myrtaceae,,
Chinaberry Tree,Meliaceae,,
Queensland kauri pine,Araucariaceae,4,New
London Plane,Platanaceae,37,Semi-Mature
